#Input Bitrate        #Measured Bitrate
1000                  2200
3000                  4700
5000                  7000
7000                  9700
9000                  12200
11000                 14700
13000                 17500
15000                 19800
17000                 22200
19000                 25000
21000                 27500
23000                 30000
25000                 32500
27000                 35000
29000                 37500
31000                 37600
33000                 36000
35000                 37500
